movie_name,movie_href,movie_comment_num,movie_year,movie_country,movie_type
肖申克的救赎,https://movie.douban.com/subject/1292052/,3269988,1994,美国,犯罪
霸王别姬,https://movie.douban.com/subject/1291546/,2412175,1993,中国大陆 中国香港,爱情 同性
泰坦尼克号,https://movie.douban.com/subject/1292722/,2486494,1997,美国,爱情 灾难
阿甘正传,https://movie.douban.com/subject/1292720/,2420336,1994,美国,爱情
千与千寻,https://movie.douban.com/subject/1291561/,2524959,2001,日本,动画 奇幻
美丽人生,https://movie.douban.com/subject/1292063/,1476046,1997,意大利,喜剧 爱情 战争
星际穿越,https://movie.douban.com/subject/1889243/,2168240,2014,美国 英国 加拿大,科幻 冒险
这个杀手不太冷,https://movie.douban.com/subject/1295644/,2542988,1994,法国 美国,动作 犯罪
盗梦空间,https://movie.douban.com/subject/3541415/,2315194,2010,美国 英国,科幻 悬疑 冒险
楚门的世界,https://movie.douban.com/subject/1292064/,2007526,1998,美国,科幻
辛德勒的名单,https://movie.douban.com/subject/1295124/,1242356,1993,美国,历史 战争
忠犬八公的故事,https://movie.douban.com/subject/3011091/,1537445,2009,美国 英国,未知
海上钢琴师,https://movie.douban.com/subject/1292001/,1871975,1998,意大利,音乐
疯狂动物城,https://movie.douban.com/subject/25662329/,2306388,2016,美国,喜剧 动画 冒险
三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,2070276,2009,印度,喜剧 爱情 歌舞
机器人总动员,https://movie.douban.com/subject/2131459/,1484570,2008,美国,科幻 动画 冒险
放牛班的春天,https://movie.douban.com/subject/1291549/,1467364,2004,法国 瑞士 德国,音乐
无间道,https://movie.douban.com/subject/1307914/,1557301,2002,中国香港,犯罪 惊悚
控方证人,https://movie.douban.com/subject/1296141/,736954,1957,美国,犯罪 悬疑 惊悚
寻梦环游记,https://movie.douban.com/subject/20495023/,1976286,2017,美国,喜剧 动画 奇幻 音乐
大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,1703242,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
熔炉,https://movie.douban.com/subject/5912992/,1032570,2011,韩国,未知
触不可及,https://movie.douban.com/subject/6786002/,1289455,2011,法国,喜剧
教父,https://movie.douban.com/subject/1291841/,1101924,1972,美国,犯罪
末代皇帝,https://movie.douban.com/subject/1293172/,1024082,1987,英国 意大利 中国大陆 法国,传记 历史
哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,1415336,2001,美国 英国,奇幻 冒险
当幸福来敲门,https://movie.douban.com/subject/1849031/,1681675,2006,美国,传记 家庭
龙猫,https://movie.douban.com/subject/1291560/,1405742,1988,日本,动画 奇幻 冒险
活着,https://movie.douban.com/subject/1292365/,966128,1994,中国大陆 中国香港,历史 家庭
怦然心动,https://movie.douban.com/subject/3319755/,2043660,2010,美国,喜剧 爱情
蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,1188420,2008,美国 英国,动作 科幻 犯罪 惊悚
指环王3：王者无敌,https://movie.douban.com/subject/1291552/,906478,2003,美国 新西兰,动作 奇幻 冒险
我不是药神,https://movie.douban.com/subject/26752088/,2342356,2018,中国大陆,喜剧
乱世佳人,https://movie.douban.com/subject/1300267/,791235,1939,美国,历史 爱情 战争
