movie_name,movie_href,movie_comment_num,movie_year,movie_country,movie_type,stars5,stars4,stars3,stars2,stars1,star1_cnt,star2_cnt,star3_cnt,star4_cnt,star5_cnt,smooth_score,raw_avg
肖申克的救赎,https://movie.douban.com/subject/1292052/,3269988,1994,美国,犯罪,85.6,12.9,1.3,0.1,0.1,326999,326999,4250984,42182845,279910973,4.503890371815894,483.8
霸王别姬,https://movie.douban.com/subject/1291546/,2412175,1993,中国大陆 中国香港,爱情 同性,82.4,15.3,2.0,0.2,0.2,482435,482435,4824350,36906278,198763220,4.50163199371627,479.8
泰坦尼克号,https://movie.douban.com/subject/1292722/,2486494,1997,美国,爱情 灾难,76.9,19.9,2.9,0.2,0.1,248649,497299,7210833,49481231,191211389,4.500894298859868,473.3
阿甘正传,https://movie.douban.com/subject/1292720/,2420336,1994,美国,爱情,76.8,20.0,2.9,0.2,0.1,242034,484067,7018974,48406720,185881805,4.500792399889988,473.2
千与千寻,https://movie.douban.com/subject/1291561/,2524959,2001,日本,动画 奇幻,73.6,22.8,3.3,0.2,0.1,252496,504992,8332365,57569065,185836982,4.500410227408773,469.6
星际穿越,https://movie.douban.com/subject/1889243/,2168240,2014,美国 英国 加拿大,科幻 冒险,76.0,19.8,3.6,0.3,0.2,433648,650472,7805664,42931152,164786240,4.500215077562477,470.8
这个杀手不太冷,https://movie.douban.com/subject/1295644/,2542988,1994,法国 美国,动作 犯罪,72.8,23.0,3.7,0.3,0.2,508598,762896,9409056,58488724,185129526,4.500182785467564,467.9
盗梦空间,https://movie.douban.com/subject/3541415/,2315194,2010,美国 英国,科幻 悬疑 冒险,72.9,23.3,3.5,0.2,0.1,231519,463039,8103179,53944020,168777643,4.5000553812551995,468.7
美丽人生,https://movie.douban.com/subject/1292063/,1476046,1997,意大利,喜剧 爱情 战争,80.2,17.0,2.3,0.2,0.2,295209,295209,3394906,25092782,118378889,4.499853075548506,476.5
楚门的世界,https://movie.douban.com/subject/1292064/,2007526,1998,美国,科幻,72.6,23.8,3.3,0.2,0.1,200753,401505,6624836,47779119,145746388,4.499713354452362,468.6
辛德勒的名单,https://movie.douban.com/subject/1295124/,1242356,1993,美国,历史 战争,80.2,17.3,2.1,0.1,0.2,248471,124236,2608948,21492759,99636951,4.499518077984249,476.9
忠犬八公的故事,https://movie.douban.com/subject/3011091/,1537445,2009,美国 英国,未知,74.9,21.1,3.7,0.3,0.1,153744,461234,5688546,32440090,115154631,4.499354980341109,470.7
疯狂动物城,https://movie.douban.com/subject/25662329/,2306388,2016,美国,喜剧 动画 冒险,67.6,27.9,4.2,0.2,0.1,230639,461278,9686830,64348225,155911829,4.499252152119112,462.7
海上钢琴师,https://movie.douban.com/subject/1292001/,1871975,1998,意大利,音乐,70.9,24.0,4.4,0.4,0.2,374395,748790,8236690,44927400,132723028,4.4991967554381445,464.7
机器人总动员,https://movie.douban.com/subject/2131459/,1484570,2008,美国,科幻 动画 冒险,71.9,23.8,4.0,0.2,0.1,148457,296914,5938280,35332766,106740583,4.499032110079222,467.2
三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,2070276,2009,印度,喜剧 爱情 歌舞,68.9,25.4,5.0,0.5,0.2,414055,1035138,10351380,52585010,142642016,4.499031333581251,462.3
放牛班的春天,https://movie.douban.com/subject/1291549/,1467364,2004,法国 瑞士 德国,音乐,71.0,25.2,3.6,0.2,0.1,146736,293473,5282510,36977573,104182844,4.498968447673907,467.1
无间道,https://movie.douban.com/subject/1307914/,1557301,2002,中国香港,犯罪 惊悚,69.7,26.3,3.8,0.2,0.1,155730,311460,5917744,40957016,108543880,4.49892067794725,465.6
控方证人,https://movie.douban.com/subject/1296141/,736954,1957,美国,犯罪 悬疑 惊悚,82.0,16.1,1.7,0.1,0.1,73695,73695,1252822,11864959,60430228,4.498821085945531,479.8
熔炉,https://movie.douban.com/subject/5912992/,1032570,2011,韩国,未知,71.4,24.9,3.4,0.2,0.1,103257,206514,3510738,25710993,73725498,4.498586315738451,467.3
触不可及,https://movie.douban.com/subject/6786002/,1289455,2011,法国,喜剧,68.7,26.7,4.2,0.3,0.1,128946,386836,5415711,34428448,88585558,4.498569551127066,463.6
教父,https://movie.douban.com/subject/1291841/,1101924,1972,美国,犯罪,72.0,22.6,4.6,0.5,0.2,220385,550962,5068850,24903482,79338528,4.498563886234462,465.4
末代皇帝,https://movie.douban.com/subject/1293172/,1024082,1987,英国 意大利 中国大陆 法国,传记 历史,70.6,25.1,3.9,0.3,0.1,102408,307225,3993920,25704458,72300189,4.49848899376621,465.8
活着,https://movie.douban.com/subject/1292365/,966128,1994,中国大陆 中国香港,历史 家庭,70.4,25.3,3.9,0.3,0.1,96613,289838,3767899,24443038,68015411,4.498424386849195,465.6
