movie_name,movie_href,movie_complex,movie_comment_num
肖申克的救赎,https://movie.douban.com/subject/1292052/,1994 / 美国 / 犯罪 剧情,3269988人评价
霸王别姬,https://movie.douban.com/subject/1291546/,1993 / 中国大陆 中国香港 / 剧情 爱情 同性,2412175人评价
泰坦尼克号,https://movie.douban.com/subject/1292722/,1997 / 美国 / 剧情 爱情 灾难,2486494人评价
阿甘正传,https://movie.douban.com/subject/1292720/,1994 / 美国 / 剧情 爱情,2420336人评价
千与千寻,https://movie.douban.com/subject/1291561/,2001 / 日本 / 剧情 动画 奇幻,2524959人评价
美丽人生,https://movie.douban.com/subject/1292063/,1997 / 意大利 / 剧情 喜剧 爱情 战争,1476046人评价
星际穿越,https://movie.douban.com/subject/1889243/,2014 / 美国 英国 加拿大 / 剧情 科幻 冒险,2168240人评价
这个杀手不太冷,https://movie.douban.com/subject/1295644/,1994 / 法国 美国 / 剧情 动作 犯罪,2542988人评价
盗梦空间,https://movie.douban.com/subject/3541415/,2010 / 美国 英国 / 剧情 科幻 悬疑 冒险,2315194人评价
楚门的世界,https://movie.douban.com/subject/1292064/,1998 / 美国 / 剧情 科幻,2007526人评价
辛德勒的名单,https://movie.douban.com/subject/1295124/,1993 / 美国 / 剧情 历史 战争,1242356人评价
忠犬八公的故事,https://movie.douban.com/subject/3011091/,2009 / 美国 英国 / 剧情,1537445人评价
海上钢琴师,https://movie.douban.com/subject/1292001/,1998 / 意大利 / 剧情 音乐,1871975人评价
疯狂动物城,https://movie.douban.com/subject/25662329/,2016 / 美国 / 喜剧 动画 冒险,2306388人评价
三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,2009 / 印度 / 剧情 喜剧 爱情 歌舞,2070276人评价
机器人总动员,https://movie.douban.com/subject/2131459/,2008 / 美国 / 科幻 动画 冒险,1484570人评价
放牛班的春天,https://movie.douban.com/subject/1291549/,2004 / 法国 瑞士 德国 / 剧情 音乐,1467364人评价
无间道,https://movie.douban.com/subject/1307914/,2002 / 中国香港 / 剧情 犯罪 惊悚,1557301人评价
控方证人,https://movie.douban.com/subject/1296141/,1957 / 美国 / 剧情 犯罪 悬疑 惊悚,736954人评价
寻梦环游记,https://movie.douban.com/subject/20495023/,2017 / 美国 / 喜剧 动画 奇幻 音乐,1976286人评价
大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装,1703242人评价
熔炉,https://movie.douban.com/subject/5912992/,2011 / 韩国 / 剧情,1032570人评价
触不可及,https://movie.douban.com/subject/6786002/,2011 / 法国 / 剧情 喜剧,1289455人评价
教父,https://movie.douban.com/subject/1291841/,1972 / 美国 / 剧情 犯罪,1101924人评价
末代皇帝,https://movie.douban.com/subject/1293172/,1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史,1024082人评价
哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,2001 / 美国 英国 / 奇幻 冒险,1415336人评价
当幸福来敲门,https://movie.douban.com/subject/1849031/,2006 / 美国 / 剧情 传记 家庭,1681675人评价
龙猫,https://movie.douban.com/subject/1291560/,1988 / 日本 / 动画 奇幻 冒险,1405742人评价
活着,https://movie.douban.com/subject/1292365/,1994 / 中国大陆 中国香港 / 剧情 历史 家庭,966128人评价
怦然心动,https://movie.douban.com/subject/3319755/,2010 / 美国 / 剧情 喜剧 爱情,2043660人评价
蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,1188420人评价
指环王3：王者无敌,https://movie.douban.com/subject/1291552/,2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险,906478人评价
我不是药神,https://movie.douban.com/subject/26752088/,2018 / 中国大陆 / 剧情 喜剧,2342356人评价
乱世佳人,https://movie.douban.com/subject/1300267/,1939 / 美国 / 剧情 历史 爱情 战争,791235人评价
飞屋环游记,https://movie.douban.com/subject/2129039/,2009 / 美国 / 剧情 喜剧 动画 冒险,1493981人评价
让子弹飞,https://movie.douban.com/subject/3742360/,2010 / 中国大陆 中国香港 / 剧情 喜剧 动作 西部,1913577人评价
哈尔的移动城堡,https://movie.douban.com/subject/1308807/,2004 / 日本 / 爱情 动画 奇幻 冒险,1284133人评价
十二怒汉,https://movie.douban.com/subject/1293182/,1957 / 美国 / 剧情,576133人评价
海蒂和爷爷,https://movie.douban.com/subject/25958717/,2015 / 德国 瑞士 / 剧情 冒险 家庭,775608人评价
素媛,https://movie.douban.com/subject/21937452/,2013 / 韩国 / 剧情,773216人评价
猫鼠游戏,https://movie.douban.com/subject/1305487/,2002 / 美国 加拿大 / 传记 犯罪 剧情,1204789人评价
天空之城,https://movie.douban.com/subject/1291583/,1986 / 日本 / 动画 奇幻 冒险,1005202人评价
鬼子来了,https://movie.douban.com/subject/1291858/,2000 / 中国大陆 / 剧情 喜剧,712272人评价
摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,2016 / 印度 / 剧情 传记 运动 家庭,1739319人评价
少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,2012 / 美国 中国台湾 英国 加拿大 / 剧情 奇幻 冒险,1485268人评价
钢琴家,https://movie.douban.com/subject/1296736/,2002 / 英国 法国 波兰 德国 美国 / 剧情 传记 战争 音乐,747317人评价
指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险,853637人评价
死亡诗社,https://movie.douban.com/subject/1291548/,1989 / 美国 / 剧情,876709人评价
大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装,1361164人评价
绿皮书,https://movie.douban.com/subject/27060077/,2018 / 美国 中国大陆 / 剧情 喜剧 传记 音乐,1884810人评价
何以为家,https://movie.douban.com/subject/30170448/,2018 / 黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国 / 剧情,1159171人评价
闻香识女人,https://movie.douban.com/subject/1298624/,1992 / 美国 / 剧情,1018873人评价
大闹天宫,https://movie.douban.com/subject/1418019/,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 中国大陆 / 剧情 动画 奇幻 古装,507581人评价
黑客帝国,https://movie.douban.com/subject/1291843/,1999 / 美国 / 动作 科幻,946527人评价
指环王1：护戒使者,https://movie.douban.com/subject/1291571/,2001 / 新西兰 美国 英国 / 剧情 动作 奇幻 冒险,956218人评价
罗马假日,https://movie.douban.com/subject/1293839/,1953 / 美国 / 喜剧 剧情 爱情,1045328人评价
教父2,https://movie.douban.com/subject/1299131/,1974 / 美国 / 剧情 犯罪,637045人评价
狮子王,https://movie.douban.com/subject/1301753/,1994 / 美国 / 动画 冒险 歌舞,957280人评价
天堂电影院,https://movie.douban.com/subject/1291828/,1988 / 意大利 法国 / 剧情 爱情,738714人评价
饮食男女,https://movie.douban.com/subject/1291818/,1994 / 中国台湾 美国 / 剧情 家庭,722043人评价
辩护人,https://movie.douban.com/subject/21937445/,2013 / 韩国 / 剧情,656062人评价
