movie_href,stars5,stars4,stars3,stars2,stars1
https://movie.douban.com/subject/1292052/,85.6,12.9,1.3,0.1,0.1
https://movie.douban.com/subject/1291546/,82.4,15.3,2.0,0.2,0.2
https://movie.douban.com/subject/1292722/,76.9,19.9,2.9,0.2,0.1
https://movie.douban.com/subject/1292720/,76.8,20.0,2.9,0.2,0.1
https://movie.douban.com/subject/1291561/,73.6,22.8,3.3,0.2,0.1
https://movie.douban.com/subject/1292063/,80.2,17.0,2.3,0.2,0.2
https://movie.douban.com/subject/1889243/,76.0,19.8,3.6,0.3,0.2
https://movie.douban.com/subject/1295644/,72.8,23.0,3.7,0.3,0.2
https://movie.douban.com/subject/3541415/,72.9,23.3,3.5,0.2,0.1
https://movie.douban.com/subject/1292064/,72.6,23.8,3.3,0.2,0.1
https://movie.douban.com/subject/1295124/,80.2,17.3,2.1,0.1,0.2
https://movie.douban.com/subject/3011091/,74.9,21.1,3.7,0.3,0.1
https://movie.douban.com/subject/1292001/,70.9,24.0,4.4,0.4,0.2
https://movie.douban.com/subject/25662329/,67.6,27.9,4.2,0.2,0.1
https://movie.douban.com/subject/3793023/,68.9,25.4,5.0,0.5,0.2
https://movie.douban.com/subject/2131459/,71.9,23.8,4.0,0.2,0.1
https://movie.douban.com/subject/1291549/,71.0,25.2,3.6,0.2,0.1
https://movie.douban.com/subject/1307914/,69.7,26.3,3.8,0.2,0.1
https://movie.douban.com/subject/1296141/,82.0,16.1,1.7,0.1,0.1
https://movie.douban.com/subject/20495023/,62.8,30.0,6.7,0.4,0.2
https://movie.douban.com/subject/1292213/,66.8,26.3,6.0,0.6,0.3
https://movie.douban.com/subject/5912992/,71.4,24.9,3.4,0.2,0.1
https://movie.douban.com/subject/6786002/,68.7,26.7,4.2,0.3,0.1
https://movie.douban.com/subject/1291841/,72.0,22.6,4.6,0.5,0.2
https://movie.douban.com/subject/1293172/,70.6,25.1,3.9,0.3,0.1
https://movie.douban.com/subject/1295038/,66.2,27.8,5.5,0.3,0.1
https://movie.douban.com/subject/1849031/,64.5,29.0,5.9,0.5,0.2
https://movie.douban.com/subject/1291560/,64.4,29.5,5.8,0.2,0.1
https://movie.douban.com/subject/1292365/,70.4,25.3,3.9,0.3,0.1
https://movie.douban.com/subject/3319755/,62.0,30.3,7.0,0.6,0.2
https://movie.douban.com/subject/1851857/,68.2,25.5,5.6,0.5,0.2
https://movie.douban.com/subject/1291552/,71.3,23.3,4.9,0.4,0.2
https://movie.douban.com/subject/26752088/,58.8,33.7,6.8,0.5,0.2
https://movie.douban.com/subject/1300267/,70.9,24.4,4.2,0.3,0.2
https://movie.douban.com/subject/2129039/,61.4,32.0,6.2,0.3,0.1
https://movie.douban.com/subject/3742360/,61.2,30.2,7.6,0.7,0.3
https://movie.douban.com/subject/1308807/,63.8,29.0,6.5,0.5,0.2
https://movie.douban.com/subject/1293182/,76.1,20.6,3.0,0.2,0.1
https://movie.douban.com/subject/25958717/,69.8,25.4,4.4,0.3,0.1
https://movie.douban.com/subject/21937452/,69.6,26.3,3.7,0.2,0.1
https://movie.douban.com/subject/1305487/,61.5,33.1,5.1,0.2,0.1
https://movie.douban.com/subject/1291583/,65.0,29.2,5.4,0.3,0.1
https://movie.douban.com/subject/1291858/,71.3,23.8,4.3,0.3,0.2
https://movie.douban.com/subject/26387939/,59.4,33.1,6.9,0.5,0.2
https://movie.douban.com/subject/1929463/,61.6,31.3,6.5,0.5,0.2
https://movie.douban.com/subject/1296736/,68.2,27.4,4.0,0.2,0.2
https://movie.douban.com/subject/1291572/,67.1,26.8,5.6,0.4,0.1
https://movie.douban.com/subject/1291548/,66.8,26.9,5.6,0.5,0.2
https://movie.douban.com/subject/1299398/,60.5,31.2,7.4,0.6,0.3
https://movie.douban.com/subject/27060077/,55.3,37.1,7.1,0.4,0.1
https://movie.douban.com/subject/30170448/,60.2,33.8,5.5,0.4,0.1
https://movie.douban.com/subject/1298624/,63.1,30.0,6.3,0.5,0.2
https://movie.douban.com/subject/1418019/,75.0,20.6,3.9,0.3,0.2
https://movie.douban.com/subject/1291843/,63.6,29.5,6.3,0.5,0.2
https://movie.douban.com/subject/1291571/,63.9,28.6,6.8,0.6,0.2
https://movie.douban.com/subject/1293839/,60.8,32.4,6.4,0.3,0.1
https://movie.douban.com/subject/1299131/,69.0,25.9,4.6,0.3,0.2
https://movie.douban.com/subject/1301753/,61.6,31.7,6.2,0.3,0.1
https://movie.douban.com/subject/1291828/,66.0,27.9,5.5,0.4,0.1
https://movie.douban.com/subject/1291818/,64.5,30.4,4.7,0.3,0.1
https://movie.douban.com/subject/21937445/,66.4,28.7,4.6,0.3,0.1
https://movie.douban.com/subject/1485260/,58.6,33.3,7.4,0.5,0.1
https://movie.douban.com/subject/1292000/,61.7,29.8,7.3,0.8,0.4
https://movie.douban.com/subject/1306029/,60.0,33.4,6.1,0.4,0.1
https://movie.douban.com/subject/3008247/,63.6,31.3,4.6,0.3,0.2
https://movie.douban.com/subject/1292220/,56.7,32.7,9.3,1.0,0.3
https://movie.douban.com/subject/3011235/,60.2,31.0,8.0,0.6,0.2
https://movie.douban.com/subject/1293350/,64.3,29.0,5.9,0.5,0.2
https://movie.douban.com/subject/1900841/,64.6,29.4,5.4,0.4,0.2
https://movie.douban.com/subject/1294408/,62.8,30.7,6.1,0.3,0.1
https://movie.douban.com/subject/1291543/,55.9,33.4,9.8,0.8,0.2
https://movie.douban.com/subject/1291544/,58.6,33.4,7.6,0.4,0.1
https://movie.douban.com/subject/1292402/,55.4,36.4,7.4,0.5,0.2
https://movie.douban.com/subject/1652587/,54.4,34.7,9.9,0.8,0.3
https://movie.douban.com/subject/26580232/,48.8,41.5,9.1,0.5,0.1
https://movie.douban.com/subject/1292849/,60.5,32.6,6.2,0.4,0.2
https://movie.douban.com/subject/1293544/,54.9,37.0,7.5,0.4,0.1
