movie_name,movie_href,movie_comment_num,movie_year,movie_country,movie_type,stars5,stars4,stars3,stars2,stars1
肖申克的救赎,https://movie.douban.com/subject/1292052/,3269988,1994,美国,犯罪,85.6,12.9,1.3,0.1,0.1
霸王别姬,https://movie.douban.com/subject/1291546/,2412175,1993,中国大陆 中国香港,爱情 同性,82.4,15.3,2.0,0.2,0.2
泰坦尼克号,https://movie.douban.com/subject/1292722/,2486494,1997,美国,爱情 灾难,76.9,19.9,2.9,0.2,0.1
阿甘正传,https://movie.douban.com/subject/1292720/,2420336,1994,美国,爱情,76.8,20.0,2.9,0.2,0.1
千与千寻,https://movie.douban.com/subject/1291561/,2524959,2001,日本,动画 奇幻,73.6,22.8,3.3,0.2,0.1
美丽人生,https://movie.douban.com/subject/1292063/,1476046,1997,意大利,喜剧 爱情 战争,80.2,17.0,2.3,0.2,0.2
星际穿越,https://movie.douban.com/subject/1889243/,2168240,2014,美国 英国 加拿大,科幻 冒险,76.0,19.8,3.6,0.3,0.2
这个杀手不太冷,https://movie.douban.com/subject/1295644/,2542988,1994,法国 美国,动作 犯罪,72.8,23.0,3.7,0.3,0.2
盗梦空间,https://movie.douban.com/subject/3541415/,2315194,2010,美国 英国,科幻 悬疑 冒险,72.9,23.3,3.5,0.2,0.1
楚门的世界,https://movie.douban.com/subject/1292064/,2007526,1998,美国,科幻,72.6,23.8,3.3,0.2,0.1
辛德勒的名单,https://movie.douban.com/subject/1295124/,1242356,1993,美国,历史 战争,80.2,17.3,2.1,0.1,0.2
忠犬八公的故事,https://movie.douban.com/subject/3011091/,1537445,2009,美国 英国,未知,74.9,21.1,3.7,0.3,0.1
海上钢琴师,https://movie.douban.com/subject/1292001/,1871975,1998,意大利,音乐,70.9,24.0,4.4,0.4,0.2
疯狂动物城,https://movie.douban.com/subject/25662329/,2306388,2016,美国,喜剧 动画 冒险,67.6,27.9,4.2,0.2,0.1
三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,2070276,2009,印度,喜剧 爱情 歌舞,68.9,25.4,5.0,0.5,0.2
机器人总动员,https://movie.douban.com/subject/2131459/,1484570,2008,美国,科幻 动画 冒险,71.9,23.8,4.0,0.2,0.1
放牛班的春天,https://movie.douban.com/subject/1291549/,1467364,2004,法国 瑞士 德国,音乐,71.0,25.2,3.6,0.2,0.1
